Dataset,Model,Delta,Baseline_MSE,Baseline_MAE,Add_MSE,Add_MAE,Imp_Add(%),Mul_MSE,Mul_MAE,Imp_Mul(%),Affine_MSE,Affine_MAE,Imp_Affine(%),Affine-Norm_MSE,Affine-Norm_MAE,Imp_Affine-Norm(%)
ETTh1,iTransformer,0.01,0.465293,0.468796,0.4617,0.4666,0.77%,0.4619,0.4671,0.73%,0.4593,0.4652,1.29%,0.4603,0.4657,1.07%
ETTh1,Autoformer,0.01,0.613481,0.56039,0.6084,0.5574,0.83%,0.6108,0.5586,0.44%,0.6018,0.5541,1.90%,0.5948,0.5504,3.05%
ETTh1,FreTS,0.01,0.485526,0.485839,0.4824,0.4839,0.64%,0.4838,0.4854,0.36%,0.482,0.4835,0.73%,0.4811,0.4829,0.91%
ETTh1,FourierGNN,0.01,0.916312,0.697356,0.9029,0.6911,1.46%,0.9097,0.6943,0.72%,0.8707,0.6778,4.98%,0.8405,0.6641,8.27%
ETTh2,iTransformer,0.01,0.191362,0.299239,0.1899,0.2978,0.76%,0.19,0.2983,0.71%,0.192,0.3027,-0.33%,0.1898,0.3026,0.82%
ETTh2,Autoformer,0.01,0.210057,0.314962,0.2075,0.3122,1.22%,0.2084,0.3137,0.79%,0.2092,0.3171,0.41%,0.2071,0.3183,1.41%
ETTh2,FreTS,0.01,0.192594,0.30443,0.1916,0.3037,0.52%,0.1925,0.3042,0.05%,0.1955,0.3085,-1.51%,0.1932,0.3087,-0.31%
ETTh2,FourierGNN,0.01,0.320829,0.406233,0.3147,0.4016,1.91%,0.3165,0.4026,1.35%,0.2894,0.3914,9.80%,0.2856,0.3895,10.98%
ETTm1,iTransformer,0.01,0.375998,0.408549,0.3743,0.4072,0.45%,0.3751,0.4081,0.24%,0.3727,0.4068,0.88%,0.3729,0.4067,0.82%
ETTm1,Autoformer,0.01,0.58457,0.543757,0.5707,0.5376,2.37%,0.5704,0.5391,2.42%,0.5306,0.5158,9.23%,0.5254,0.5106,10.12%
ETTm1,FreTS,0.01,0.373532,0.40728,0.3704,0.4045,0.84%,0.3726,0.4067,0.25%,0.3614,0.3981,3.25%,0.3616,0.3981,3.19%
ETTm1,FourierGNN,0.01,0.534045,0.511511,0.5244,0.506,1.81%,0.5276,0.5086,1.21%,0.48,0.4856,10.12%,0.4679,0.477,12.39%
ETTm2,iTransformer,0.01,0.123514,0.239978,0.1212,0.2371,1.87%,0.1221,0.2385,1.14%,0.1191,0.2385,3.57%,0.1183,0.2375,4.22%
ETTm2,Autoformer,0.01,0.152752,0.272862,0.1505,0.271,1.47%,0.1512,0.2722,1.02%,0.1466,0.2725,4.03%,0.1449,0.2711,5.14%
ETTm2,FreTS,0.01,0.128038,0.247597,0.1262,0.245,1.44%,0.1265,0.2457,1.20%,0.1227,0.2439,4.17%,0.1215,0.242,5.11%
ETTm2,FourierGNN,0.01,0.152351,0.276919,0.1493,0.2739,2.00%,0.1511,0.2771,0.82%,0.1486,0.2768,2.46%,0.1462,0.2741,4.04%
