Dataset,Model,Delta,Baseline_MSE,Baseline_MAE,Affine_Norm_MSE,Affine_Norm_MAE,Imp_Affine_Norm(%)
ETTh1,iTransformer,0.01,0.465293,0.468796,0.461,0.4661,0.92%
ETTh1,Autoformer,0.01,0.613481,0.56039,0.6028,0.5544,1.74%
ETTh1,FreTS,0.01,0.485526,0.485839,0.4806,0.4826,1.01%
ETTh2,Autoformer,0.01,0.210057,0.314962,0.2073,0.3223,1.31%
ETTh1,FourierGNN,0.01,0.916312,0.697356,0.8284,0.6586,9.59%
ETTh2,FreTS,0.01,0.192594,0.30443,0.1918,0.3099,0.41%
ETTh2,iTransformer,0.01,0.191362,0.299239,0.1894,0.3036,1.03%
ETTh2,FourierGNN,0.01,0.320829,0.406233,0.2787,0.3862,13.13%
ETTm1,iTransformer,0.01,0.375998,0.408549,0.3793,0.4113,-0.88%
ETTh2,Autoformer,0.01,0.210057,0.314962,0.2071,0.3219,1.41%
ETTh2,FreTS,0.01,0.192594,0.30443,0.1918,0.3099,0.41%
ETTh2,FourierGNN,0.01,0.320829,0.406233,0.2787,0.3862,13.13%
ETTm1,iTransformer,0.01,0.375998,0.408549,0.3793,0.4113,-0.88%
ETTm1,FreTS,0.01,0.373532,0.40728,0.3623,0.3984,3.01%
ETTm1,FourierGNN,0.01,0.534045,0.511511,0.4691,0.4774,12.16%
ETTm2,iTransformer,0.01,0.123514,0.239978,0.116,0.2342,6.08%
ETTm2,FreTS,0.01,0.128038,0.247597,0.1195,0.2404,6.67%
ETTm2,FourierGNN,0.01,0.152351,0.276919,0.1406,0.2684,7.71%
ETTm1,Autoformer,0.01,0.58457,0.543757,0.523,0.5088,10.53%
